Crankshaft,Overheating,Lubricant,Misfires,Piston,Starter,Decision
9.054,12.413,12.291,464.597,8.156,3.729,Moderate
9.995,13.033,1009.768,4.579,8.832,460.656,Critical
7.429,13.542,13.994,4.154,8.53,454.724,Moderate
9.527,14.133,14.84,5.178,10.096,4.904,Good
7.307,13.391,13.941,4.818,9.447,341.507,Minor
8.986,11.162,11.338,5.05,8.664,431.401,Minor
8.674,12.222,12.079,4.172,9.92,3.72,Good
9.077,14.507,12.328,479.23,8.13,4.063,Moderate
7.732,1085.382,13.191,6.026,8.3,461.54,Critical
7.045,13.858,13.011,5.743,7.519,3.959,Good
10.327,14.278,12.246,4.759,8.512,4.616,Moderate
8.146,10.525,11.09,4.287,10.394,450.725,Moderate
8.062,13.809,10.51,6.749,903.942,3.039,Critical
8.514,14.03,12.433,477.443,6.92,3.872,Moderate
9.743,14.277,12.901,4.98,7.736,4.228,Good
7.691,11.742,11.167,5.379,9.229,387.941,Minor
6.675,12.137,13.65,4.981,728.971,4.406,Moderate
7.224,12.926,11.273,5.108,8.45,529.609,Moderate
8.508,12.928,14.215,3.867,8.987,3.764,Good
8.148,13.197,12.376,3.721,8.492,4.323,Good
9.601,1494.815,12.035,5.268,8.539,4.7,Critical
8.296,14.022,12.842,379.294,8.82,376.378,Moderate
7.007,10.326,12.21,3.714,8.144,406.804,Minor
7.996,12.372,13.419,4.232,684.988,361.907,Critical
7.806,13.312,11.966,5.684,7.841,387.941,Minor
9.856,11.827,13.774,5.159,8.573,446.712,Moderate
7.491,12.306,12.835,5.807,8.088,4.117,Good
8.633,11.888,12.458,417.434,9.62,497.756,Minor
9.754,14.273,10.297,4.126,9.179,319.636,Minor
10.786,12.875,13.152,5.003,7.756,507.895,Moderate
6.885,11.827,1245.809,4.798,10.075,2.776,Critical
6.922,11.013,11.661,541.5,8.631,319.394,Moderate
9.989,13.86,9.801,4.818,8.698,4.223,Good
9.416,15.182,9.812,4.123,6.973,4.902,Minor
9.7,14.075,9.718,5.277,8.716,3.464,Good
8.729,12.754,10.603,5.148,8.521,332.959,Minor
9.251,11.133,11.116,5.503,8.308,4.506,Good
9.309,15.368,10.798,412.419,8.071,3.835,Minor
9.845,12.503,8.994,588.792,10.096,5.197,Moderate
9.69,11.997,11.969,4.982,8.808,4.564,Good
6.71,10.34,11.073,4.107,8.797,4.063,Critical
9.242,11.201,11.457,4.94,8.19,424.177,Minor
8.895,13.143,1130.724,438.5,721.091,386.921,Critical
8.606,12.458,11.177,4.111,9.996,3.077,Good
9.387,12.27,16.174,4.982,7.796,3.694,Good
7.661,11.768,1193.372,3.816,8.472,422.565,Critical
9.869,13.152,11.177,6.166,9.682,3.329,Good
9.129,12.347,14.089,5.467,10.305,501.848,Moderate
7.504,12.225,12.458,5.524,9.605,5.197,Good
8.866,14.05,11.771,4.096,11.135,4.05,Moderate
8.505,11.572,1172.817,4.514,8.855,418.807,Critical
8.86,13.471,12.758,5.231,7.25,401.636,Minor
823.722,15.829,12.184,4.528,715.724,388.859,Critical
8.338,13.856,10.371,5.001,8.861,3.914,Good
8.052,10.927,9.812,4.342,9.184,394.237,Minor
7.855,10.91,12.54,5.188,767.151,395.191,Critical
8.957,11.888,14.178,5.028,8.189,3.606,Good
8.494,11.807,9.394,5.989,7.864,496.29,Moderate
10.699,12.56,1222.059,428.555,7.494,442.686,Critical
7.68,12.782,9.344,4.539,8.411,376.033,Minor
8.296,12.903,10.831,5.306,7.81,437.223,Moderate
7.988,14.3,13.493,6.098,9.996,3.238,Good
8.589,12.915,10.371,3.625,7.453,3.516,Good
9.485,12.832,13.908,3.66,7.963,515.493,Moderate
7.218,13.641,11.669,5.542,10.927,293.661,Minor
9.441,14.05,12.376,6.335,9.218,455.916,Moderate
9.002,12.231,10.597,3.734,8.408,3.329,Good
8.33,1308.136,11.09,3.898,9.405,3.141,Critical
9.869,11.07,12.072,4.61,8.682,427.637,Minor
9.283,11.864,12.458,6.749,9.829,3.574,Moderate
8.531,12.56,12.245,4.581,8.1,4.481,Good
7.879,14.755,11.606,3.519,6.922,456.181,Moderate
7.699,10.561,14.178,5.291,7.827,432.245,Minor
920.752,15.127,12.291,534.529,8.158,401.617,Critical
10.122,14.147,1377.36,5.701,10.243,4.784,Minor
6.899,11.598,1283.454,5.354,9.229,3.416,Critical
10.238,11.378,13.35,3.939,7.232,410.682,Minor
6.638,12.028,1278.467,4.466,10.031,4.476,Critical
8.237,14.386,12.908,5.923,10.529,4.491,Good
10.115,13.199,11.354,4.332,9.096,4.223,Good
10.927,12.901,11.01,3.026,9.07,428.24,Minor
11.06,11.495,12.459,399.365,8.895,3.778,Minor
7.537,11.986,13.041,5.118,6.414,490.433,Moderate
8.216,14.075,14.609,4.232,8.144,420.306,Minor
9.43,12.286,10.83,4.581,9.193,4.4,Good
10.483,13.042,10.942,4.624,9.253,4.423,Critical
7.224,12.688,11.09,4.211,7.877,345.83,Minor
7.855,13.23,1148.203,4.951,8.04,401.617,Critical
10.423,1370.465,12.785,5.159,9.477,4.96,Critical
9.701,12.507,12.079,5.05,7.357,5.056,Good
8.745,1357.53,12.06,5.184,8.341,4.16,Critical
8.186,14.273,12.007,4.675,9.173,3.72,Good
9.309,12.137,11.399,4.483,8.122,4.195,Good
9.065,13.57,12.361,5.45,9.682,447.096,Moderate
9.054,9.916,12.221,4.762,8.158,399.47,Minor
7.486,14.492,10.297,4.819,945.775,324.336,Critical
8.96,12.599,12.458,3.821,9.016,4.322,Good
9.845,12.023,11.661,4.375,7.633,3.729,Good
8.205,11.109,13.611,417.229,9.624,4.661,Minor
7.49,10.738,1483.575,5.438,8.723,406.306,Critical
8.971,14.725,13.778,4.66,7.613,4.701,Good
9.754,12.137,8.986,4.55,9.209,3.925,Good
9.123,10.556,11.58,5.088,7.583,373.654,Minor
8.593,12.271,11.425,4.562,7.313,4.025,Good
9.68,12.139,13.618,4.033,879.157,446.548,Critical
10.332,15.037,11.728,484.256,10.065,356.247,Moderate
9.465,14.751,1294.928,4.505,9.89,434.357,Minor
9.281,11.827,12.361,4.033,7.49,3.317,Good
8.531,12.875,14.84,4.912,10.297,4.773,Good
8.348,11.707,9.758,4.06,8.176,5.043,Minor
8.195,11.57,11.457,4.475,7.906,4.944,Good
9.869,15.07,10.597,5.191,8.214,3.641,Good
9.678,15.255,14.804,4.858,8.447,4.223,Good
7.945,15.707,1183.816,5.134,8.221,3.896,Critical
7.347,12.038,12.949,4.798,8.341,3.952,Good
9.701,12.968,11.067,4.149,8.928,3.537,Good
8.29,15.539,13.579,4.833,9.542,510.043,Moderate
9.129,11.927,11.661,4.008,829.53,4.092,Moderate
10.171,13.389,12.5,4.271,7.02,466.758,Moderate
10.238,13.525,13.473,3.686,8.698,395.896,Minor
8.638,13.858,9.344,5.191,8.124,3.856,Good
9.763,13.688,1319.141,6.472,780.144,4.564,Critical
8.456,11.707,14.84,3.839,9.957,3.562,Good
8.146,14.156,10.643,5.315,7.751,4.068,Good
10.641,11.072,11.497,4.609,8.122,387.186,Minor
8.979,14.15,11.832,551.796,10.927,372.472,Critical
6.638,12.175,12.275,5.493,7.806,590.698,Moderate
7.486,12.51,14.382,4.263,8.462,3.697,Good
7.661,11.609,10.917,4.86,8.965,4.607,Moderate
8.157,13.498,1185.388,581.154,7.232,410.832,Critical
9.278,11.947,11.931,3.955,7.482,533.264,Moderate
9.509,13.381,12.109,3.867,9.016,3.943,Good
8.927,11.197,14.609,418.795,8.189,4.406,Minor
9.631,13.603,13.038,5.174,8.14,3.886,Good
8.872,13.132,11.706,5.554,7.313,3.889,Good
6.638,14.85,11.457,466.615,7.157,5.202,Moderate
8.201,13.454,11.988,4.517,8.066,398.101,Minor
7.18,12.083,12.901,4.42,7.234,4.554,Good
9.077,15.063,15.49,5.826,9.164,3.641,Good
9.045,10.738,981.222,4.475,7.866,3.879,Critical
8.639,13.856,10.122,4.843,9.549,4.026,Good
8.794,13.493,10.597,5.282,7.823,346.148,Minor
8.186,11.9,14.149,4.654,10.049,3.55,Good
8.531,14.075,10.51,5.051,8.716,448.075,Moderate
8.611,12.839,10.975,533.743,9.173,4.198,Moderate
7.661,12.588,12.361,3.721,7.81,332.185,Minor
7.835,12.896,11.728,5.025,9.024,4.158,Good
8.273,12.97,13.774,4.86,9.06,419.541,Minor
9.995,11.837,11.354,5.44,9.354,4.508,Good
854.578,11.403,13.011,290.214,7.242,4.195,Critical
9.754,9.916,12.402,557.327,9.173,4.188,Moderate
813.976,12.51,11.1,3.816,7.884,291.449,Critical
8.885,14.865,13.778,3.734,9.209,3.711,Good
8.195,12.023,12.901,452.809,9.321,449.845,Critical
8.078,12.443,11.332,4.644,9.239,3.94,Good
8.971,13.152,11.706,4.771,7.543,4.78,Moderate
10.692,12.347,13.493,4.455,7.587,4.628,Good
9.509,11.318,11.23,5.641,9.257,394.327,Minor
8.25,12.896,14.216,6.075,9.096,3.208,Good
7.576,12.499,1341.883,4.3,9.217,371.058,Critical
8.693,1046.416,10.622,3.686,8.299,449.064,Critical
9.251,15.549,13.579,3.837,8.129,3.938,Good
10.423,14.729,10.236,351.392,9.72,474.089,Moderate
9.049,13.546,12.982,5.05,7.764,4.703,Good
8.784,1342.157,10.646,4.86,8.158,4.323,Critical
7.246,11.07,14.774,5.823,8.437,3.472,Good
9.633,11.285,12.98,5.074,9.632,4.765,Good
9.406,1323.851,15.49,5.217,10.344,392.131,Critical
9.187,11.99,8.612,3.826,951.312,5.111,Critical
10.548,14.762,11.338,492.387,9.605,477.348,Critical
7.1,9.765,14.587,5.952,6.922,377.479,Minor
8.907,14.387,11.177,5.823,8.55,4.418,Good
10.717,11.707,12.119,4.735,961.793,3.927,Critical
9.257,12.093,10.51,4.644,9.029,3.94,Good
8.83,13.119,1120.134,452.809,8.749,434.357,Critical
8.338,12.901,13.216,4.888,7.751,5.019,Good
9.065,12.27,11.073,4.367,8.301,467.757,Moderate
8.157,14.45,13.403,4.899,8.39,450.819,Moderate
7.859,1290.274,13.65,436.384,8.022,5.651,Minor
8.164,14.912,13.197,4.391,8.492,4.701,Good
8.338,13.493,13.405,4.199,6.304,3.921,Moderate
8.395,13.389,11.558,4.731,8.97,390.108,Minor
7.836,1347.852,12.922,4.654,6.92,3.939,Critical
8.104,14.896,13.937,4.107,754.119,3.761,Moderate
8.86,10.97,12.184,5.916,7.242,545.677,Moderate
10.717,12.839,13.941,400.8,8.565,3.238,Minor
8.035,12.658,10.456,5.492,961.104,5.402,Critical
8.319,12.095,12.291,3.984,10.035,387.941,Minor
7.543,11.9,12.749,5.088,808.24,354.503,Critical
6.932,13.964,12.982,4.875,9.426,4.522,Good
7.307,12.079,13.579,3.488,7.961,3.889,Good
8.531,11.948,13.186,543.977,9.405,362.003,Critical
9.34,12.046,12.458,5.94,8.512,5.907,Good
8.319,13.595,12.246,5.647,10.049,458.787,Moderate
9.236,14.451,1283.454,3.858,10.703,391.448,Critical
9.009,12.918,11.758,435.067,9.843,342.964,Moderate
9.585,15.801,13.419,4.445,799.047,4.235,Moderate
8.522,11.809,10.974,351.857,9.148,5.155,Minor
10.278,14.902,11.399,4.376,7.448,3.79,Good
10.768,11.968,1340.306,379.294,8.434,3.79,Critical
7.415,13.853,1259.375,5.178,9.167,3.343,Critical
8.29,11.254,9.724,4.195,10.241,372.035,Minor
9.465,12.397,13.041,4.845,9.285,5.202,Good
9.262,12.231,8.612,5.647,9.082,2.776,Good
8.029,15.183,11.758,5.989,7.802,5.333,Critical
925.702,12.225,10.544,3.821,8.565,3.243,Critical
938.708,13.912,1064.26,6.319,9.996,410.832,Critical
8.078,13.883,11.988,490.873,9.309,458.787,Critical
8.794,11.927,11.167,5.823,6.687,496.021,Moderate
9.044,14.581,10.544,6.015,9.256,3.697,Good
9.137,13.681,13.312,5.315,7.845,328.237,Minor
8.817,14.255,1172.817,6.207,8.788,490.089,Critical
9.394,13.962,1152.452,4.394,8.961,318.071,Critical
6.899,12.367,11.332,6.133,10.034,352.107,Minor
8.739,11.767,10.569,6.207,7.552,407.507,Minor
6.749,11.968,12.854,3.625,6.573,461.558,Moderate
9.445,14.743,10.974,436.384,10.383,363.441,Moderate
7.338,11.637,10.153,5.701,10.065,2.83,Good
9.108,12.73,11.167,4.657,8.834,496.021,Moderate
8.141,12.271,12.785,5.118,9.309,3.561,Good
9.309,14.264,9.812,4.711,9.225,378.988,Minor
8.83,15.182,12.433,418.418,8.939,320.807,Moderate
8.683,14.889,12.079,4.3,7.126,4.491,Good
8.589,13.881,12.749,4.164,9.02,4.423,Minor
9.103,15.758,12.178,3.793,9.421,3.261,Good
8.32,13.447,13.006,4.858,6.922,590.698,Moderate
7.206,14.278,13.046,6.273,7.736,426.557,Minor
8.144,13.312,11.706,5.796,9.218,393.844,Minor
9.718,12.023,10.51,534.477,8.497,4.075,Moderate
8.33,11.73,13.65,473.468,9.623,415.741,Critical
10.501,14.055,11.706,4.843,7.884,418.787,Minor
8.72,11.227,13.419,4.367,827.746,4.555,Moderate
6.159,15.5,1154.941,6.14,8.21,3.781,Critical
10.327,11.108,11.931,3.883,9.285,504.316,Moderate
6.602,11.99,14.089,3.955,8.245,4.193,Moderate
6.602,14.671,14.149,4.554,9.149,3.609,Good
9.52,11.827,14.553,4.16,7.874,565.119,Moderate
9.292,12.452,13.479,4.853,7.182,438.699,Moderate
6.922,1239.748,11.806,5.647,6.971,347.16,Critical
9.319,12.459,11.728,3.955,7.815,323.827,Minor
10.086,12.452,11.312,4.188,8.98,452.343,Moderate
7.18,13.658,12.718,575.387,10.241,364.098,Critical
9.112,13.696,1229.085,4.514,7.216,4.01,Critical
8.035,11.809,13.071,5.194,7.999,3.415,Good
8.673,13.288,12.402,5.061,10.494,3.956,Moderate
7.206,14.03,11.46,5.158,8.496,3.938,Good
974.258,11.959,12.758,4.505,10.473,4.773,Critical
8.937,10.677,9.931,4.363,902.36,545.761,Critical
7.94,11.401,10.594,4.464,8.411,464.984,Moderate
9.631,14.56,12.785,3.276,7.751,445.92,Moderate
10.104,11.4,9.801,566.591,9.033,476.467,Critical
8.931,14.738,15.49,5.438,8.214,3.105,Good
10.254,13.671,10.544,5.812,7.632,392.469,Minor
8.921,14.73,8.986,5.571,7.632,457.777,Moderate
6.71,11.589,1328.329,4.948,8.472,311.038,Critical
7.347,13.595,12.749,4.66,9.089,291.449,Minor
6.638,11.598,1185.388,4.124,8.698,4.448,Minor
7.183,11.378,9.394,6.075,8.442,474.089,Moderate
9.701,13.097,11.838,3.664,8.646,357.183,Minor
9.11,13.688,11.966,5.503,7.264,416.011,Minor
9.077,12.542,9.862,3.568,9.418,4.125,Good
8.593,11.243,13.283,4.947,9.193,430.652,Minor
8.812,11.109,14.523,4.562,10.344,4.197,Good
9.763,13.23,11.46,5.088,7.632,4.111,Good
7.576,11.864,12.178,4.164,8.147,326.108,Minor
9.159,15.711,13.006,521.083,8.927,3.416,Moderate
9.34,14.948,14.119,4.454,8.176,393.844,Minor
6.749,11.767,13.618,5.305,9.542,310.55,Minor
8.762,13.097,10.998,4.453,8.462,4.377,Good
9.513,13.763,13.552,5.379,9.123,4.197,Minor
9.406,14.3,12.492,4.463,10.034,3.677,Good
9.187,14.031,11.838,4.733,10.681,4.302,Good
7.837,13.013,9.718,4.844,9.082,368.796,Minor
7.855,12.046,13.552,5.479,8.241,3.707,Good
7.619,13.39,12.49,5.434,7.81,460.115,Moderate
8.86,13.342,11.969,4.757,7.601,4.691,Good
9.4,14.157,9.812,4.916,8.365,307.654,Minor
8.611,11.813,1278.467,4.748,8.572,3.79,Critical
8.146,11.401,14.215,4.654,7.801,4.75,Good
7.1,10.34,10.86,4.971,8.483,4.953,Good
7.501,16.052,10.694,515.911,8.955,390.108,Critical
9.633,12.901,1224.572,5.122,8.89,4.7,Critical
8.81,13.312,12.721,5.566,9.224,5.333,Good
6.71,13.962,1157.974,5.266,8.484,4.108,Critical
10.35,13.961,11.549,437.885,9.542,438.699,Moderate
8.556,14.832,11.728,5.455,9.286,408.183,Minor
800.537,12.045,14.089,4.582,10.529,477.985,Critical
8.674,14.676,12.815,4.096,7.738,4.226,Good
7.934,12.47,11.115,4.745,10.428,5.024,Good
7.037,13.388,10.854,4.899,7.634,4.741,Moderate
10.214,13.57,13.901,5.282,8.3,405.484,Minor
8.911,12.841,11.806,4.195,6.973,354.503,Minor
7.669,12.375,1130.724,5.218,8.147,3.624,Critical
9.34,14.557,13.521,4.562,9.882,360.635,Minor
10.424,14.22,1210.852,3.714,8.158,3.672,Critical
7.501,16.477,10.917,5.823,7.482,4.802,Good
7.501,13.559,9.344,4.105,6.854,5.019,Good
8.489,13.712,12.246,505.172,786.558,3.208,Minor
9.585,11.88,10.708,4.972,9.618,4.293,Good
10.483,11.9,11.611,4.66,7.903,4.525,Good
9.69,13.696,9.801,4.42,8.122,432.317,Minor
8.329,11.73,14.21,475.68,8.202,4.418,Moderate
8.29,13.328,14.609,5.51,7.494,4.902,Good
8.72,13.853,10.622,435.067,892.756,391.448,Critical
8.348,10.927,10.603,3.721,10.494,4.904,Good
10.786,11.863,13.321,5.554,8.562,4.525,Good
8.755,11.944,13.473,5.164,822.723,3.343,Moderate
8.433,14.255,11.067,501.27,9.033,378.16,Moderate
8.386,14.15,13.443,5.108,7.96,4.856,Good
11.078,10.782,11.73,3.848,9.209,4.418,Good
9.995,15.183,1107.296,315.559,8.477,3.737,Critical
7.691,12.745,11.931,4.123,6.732,421.938,Minor
9.935,12.84,8.994,4.804,8.84,4.57,Good
9.891,13.033,14.523,2.902,8.308,371.058,Minor
10.07,12.839,12.361,5.195,9.286,347.551,Minor
9.482,12.744,12.49,465.705,7.234,5.21,Moderate
9.123,17.181,12.815,5.518,9.409,378.979,Minor
7.835,13.936,12.102,389.803,6.953,4.522,Minor
8.171,11.809,11.167,4.486,8.646,5.079,Good
8.96,13.542,11.806,4.678,8.18,4.588,Moderate
8.957,10.326,9.394,5.266,8.301,429.269,Minor
9.292,14.449,10.179,4.952,8.619,4.212,Good
7.912,12.545,11.061,6.314,684.988,3.476,Moderate
9.189,11.377,12.184,4.176,10.097,4.197,Good
10.717,14.631,8.994,3.156,8.492,4.121,Good
10.862,14.676,11.593,3.734,9.096,437.046,Moderate
8.817,14.3,12.458,534.477,7.244,4.36,Moderate
8.148,12.904,1592.339,428.021,9.285,388.396,Critical
9.159,13.389,12.594,5.306,10.479,540.228,Moderate
9.802,12.754,13.443,4.646,7.02,466.105,Moderate
8.531,12.223,10.122,4.414,8.802,4.16,Good
10.266,11.881,10.998,5.08,8.18,3.677,Good
